finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
1800,Technology,Joe Lau,33,United States,Stanford,"Blockchain, technology",Technology,United States,,True,M,California
1800,Diversified,Louise Lindh,43,Sweden,Stockholm,Investments,Diversified,Sweden,,False,F,
1800,Metals & Mining,Luo Yangyong & family,47,China,Panzhihua,Mining,Metals & Mining,China,,True,M,
1800,Media & Entertainment,Joao Roberto Marinho,69,Brazil,Rio de Janeiro,Media,Media & Entertainment,Brazil,,False,M,
1800,Media & Entertainment,Jose Roberto Marinho,67,Brazil,Rio de Janeiro,Media,Media & Entertainment,Brazil,,False,M,
1800,Media & Entertainment,Roberto Irineu Marinho,75,Brazil,Rio de Janeiro,Media,Media & Entertainment,Brazil,,False,M,
1800,Healthcare,Gary Michelson,74,United States,Los Angeles,Medical patents,Healthcare,United States,,True,M,California
1800,Technology,Robert G. Miller,77,Canada,Montreal,Electronics components,Technology,Canada,Future Electronics,True,M,
1800,Real Estate,David Mindus,51,Sweden,Stockholm,Real estate,Real Estate,Sweden,,True,M,
1800,Technology,Adriaan Mol,39,Netherlands,Amsterdam,Fintech,Technology,Netherlands,,True,M,
1800,Real Estate,Mofatraj Munot,78,India,Mumbai,Real estate,Real Estate,India,,True,M,
1800,Finance & Investments,Ezra Nahmad,77,Monaco,Monte Carlo,Art,Finance & Investments,Monaco,,False,M,
1800,Manufacturing,Satyanarayan Nuwal,70,India,Nagpur,Industrial explosives,Manufacturing,India,,True,M,
1800,Food & Beverage,Maike Oberwelland-Height,65,,,Candy,Food & Beverage,Germany,,False,F,
1800,Diversified,Nihat Ozdemir,72,Turkey,Ankara,Diversified,Diversified,Turkey,,True,M,
1800,Technology,Benjamin Zhengmin Pan & family,53,China,Shenzhen,Electronics,Technology,China,,True,M,
1800,Media & Entertainment,Pierre Karl Péladeau,61,Canada,Montreal,Media,Media & Entertainment,Canada,,False,M,
1800,Finance & Investments,Ronald Perelman,80,United States,New York,Leveraged buyouts,Finance & Investments,United States,,True,M,New York
1800,Technology,Olivier Pomel,46,United States,New York,Cloud computing,Technology,France,Datadog,True,M,New York
1800,Media & Entertainment,Krit Ratanarak,76,Thailand,Bangkok,"Media, real estate",Media & Entertainment,Thailand,,False,M,
1800,Manufacturing,Vinod Saraf,70,India,Mumbai,Chemicals,Manufacturing,India,,True,M,
1800,Technology,Karin Schick,65,Germany,Gaildorf,Information technology,Technology,Germany,,False,F,
1800,Metals & Mining,Anatoly Sedykh,58,Russia,Moscow,Steel pipes,Metals & Mining,Russia,,True,M,
1800,Food & Beverage,Genhuo Shao,57,China,Beijing,Agribusiness,Food & Beverage,China,,True,M,
1800,Energy,Shen Xiqiang & family,75,China,Yixing,Chemical,Energy,China,,True,M,
1800,Technology,S.D. Shibulal,68,India,Bangalore,Software services,Technology,India,,True,M,
1800,Fashion & Retail,Suh Kyung-bae,60,South Korea,Seoul,Cosmetics,Fashion & Retail,South Korea,Amorepacific Corp. (New),False,M,
1800,Food & Beverage,Bambang Sutantio,64,Indonesia,,Dairy & consumer products,Food & Beverage,Indonesia,,True,M,
1800,Manufacturing,Sze Man Bok,73,China,Jinjiang,Hygiene products,Manufacturing,China,,True,M,
1800,Logistics,Jim Thompson,83,Hong Kong,Hong Kong,Logistics,Logistics,United States,,True,M,
1800,Manufacturing,Tran Dinh Long,62,Vietnam,Hanoi,Steel,Manufacturing,Vietnam,,True,M,
